City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
2142316,Yeppoon,50,AU,1603344198,42,-23.13,150.73,86.0,5.82
1854246,Ōkuchi-shinohara,75,JP,1603344198,100,32.07,130.62,69.8,4.7
2121909,Poronaysk,99,RU,1603344198,74,49.22,143.12,55.06,17.76
1045114,Inhambane,20,MZ,1603343994,94,-23.86,35.38,71.6,4.7
2020591,Magdagachi,14,RU,1603344199,86,53.45,125.8,30.92,12.19
2016183,Spasskoye,72,RU,1603344199,50,44.61,132.8,49.32,5.17
3924679,Vilhena,54,BR,1603344199,73,-12.74,-60.15,72.75,2.24
1805857,Jieshi,27,CN,1603344200,64,22.81,115.83,78.01,1.01
2035836,Manzhouli,0,CN,1603344200,73,49.6,117.43,35.04,11.5
4837648,Ledyard Center,90,US,1603344200,100,41.44,-72.01,64.99,5.82
2304548,Anloga,40,GH,1603344201,94,5.79,0.9,78.8,5.82
3648546,Barinas,99,VE,1603344201,87,8.62,-70.21,74.17,3.33
